date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:45	10118/10118	---M--	200	added ('OK')	image/png	etag:%221d960d6bc25e286%22	https://nhatran111.vn/img/tailieu/mobilelogo.png	D:/web_English_Center/Web/nhatran111.vn/img/tailieu/mobilelogo.png	(from https://nhatran111.vn/)
09:39:45	777872/777872	---M--	200	added ('OK')	image/jpeg	etag:%221d98d1f76238010%22	https://admin.nhatran111.vn/eData/Banner/banner%203%201.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Banner/banner%203%201.jpg	(from https://nhatran111.vn/)
09:39:46	336330/336330	---M--	200	added ('OK')	image/png	etag:%221d957b54143faca%22	https://nhatran111.vn/img/gioithieu.png	D:/web_English_Center/Web/nhatran111.vn/img/gioithieu.png	(from https://nhatran111.vn/)
09:39:46	7953/7953	---M--	200	added ('OK')	image/png	etag:%221d98d40c237d411%22	https://admin.nhatran111.vn/eData/Menu/m71.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Menu/m71.png	(from https://nhatran111.vn/)
09:39:46	14546/14546	---M--	200	added ('OK')	image/png	etag:%221d98d40d7accdd2%22	https://admin.nhatran111.vn/eData/Menu/m21.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Menu/m21.png	(from https://nhatran111.vn/)
09:39:47	16172/16172	---M--	200	added ('OK')	image/png	etag:%221d98d41468a712c%22	https://admin.nhatran111.vn/eData/Menu/m41.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Menu/m41.png	(from https://nhatran111.vn/)
09:39:47	10791/10791	---M--	200	added ('OK')	image/png	etag:%221d98d41af71ec27%22	https://admin.nhatran111.vn/eData/Menu/m61.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Menu/m61.png	(from https://nhatran111.vn/)
09:39:47	14040/14040	---M--	200	added ('OK')	image/png	etag:%221d98d420972bd58%22	https://admin.nhatran111.vn/eData/Menu/m91.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/Menu/m91.png	(from https://nhatran111.vn/)
09:39:48	72047/72047	---M--	200	added ('OK')	image/png	etag:%221d957b54ad15a6f%22	https://admin.nhatran111.vn/eData/ckEditor/image/Frame47263.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/image/Frame47263.png	(from https://nhatran111.vn/)
09:39:48	53423/53423	---M--	200	added ('OK')	image/jpeg	etag:%221d965de36c2a9af%22	https://admin.nhatran111.vn/eData/ckEditor/image/anh2.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/image/anh2.jpg	(from https://nhatran111.vn/)
